0xRivendell,BayaniChain,Lorefy,Nodies,OnChainVision,Pheasant Networ...,Polyzoa - Scam ...,Scale3,THX Network,Mande Network,1Hive Gardens,DeCenter AI,FlipGuard,SmartMuv (Dapp ...,Citizen Wallet:...,Commons Stack,Domin Network: ...,Glo Dollar,Porfo ,pier wallet - a...,Polygon ALT IDM,Unitap,jpnft
0.0,39.587932303164095,40.53857350800582,40.95092024539878,37.882018479033405,32.67605633802817,37.484355444305386,37.127729980145595,40.137090632140136,32.48836006207967,39.984532095901,38.97260273972603,40.723981900452486,42.89080911233307,41.494082840236686,39.629120879120876,40.0,41.03915662650602,41.33738601823708,43.152866242038215,39.59537572254335,37.92401628222524,27.203065134099617
39.587932303164095,0.0,40.50445103857567,42.70998415213946,40.339233038348084,33.3716915995397,37.404580152671755,36.029411764705884,41.968503937007874,32.91205897840969,40.82605242255759,39.20335429769392,41.017733230531995,43.47826086956522,41.69184290030212,40.168539325842694,41.67950693374422,39.51367781155015,41.427463149728474,41.3322632423756,42.05397301349325,38.707435719249474,28.075396825396826
40.53857350800582,40.50445103857567,0.0,40.61302681992337,37.96296296296296,31.176798661461234,36.10421836228288,35.22875816993464,40.229007633587784,31.11225012813942,40.18619084561676,39.33975240715269,41.673003802281364,42.65514532600157,39.51789627465303,39.231824417009605,41.67927382753404,41.02564102564102,40.04524886877828,40.89481946624804,40.18895348837209,38.66120218579235,28.391472868217054
40.95092024539878,42.70998415213946,40.61302681992337,0.0,41.73712528823982,33.19575471698113,38.042049934296976,37.79637377963738,42.367346938775505,30.97768331562168,42.004971002485505,39.56678700361011,41.03585657370518,43.34442595673877,43.18360914105595,40.975254730713246,45.069274653626735,41.14376489277204,42.83400809716599,42.78523489932886,42.32558139534884,40.36231884057971,31.06382978723404
37.882018479033405,40.339233038348084,37.96296296296296,41.73712528823982,0.0,30.948419301164726,37.258566978193144,34.58549222797927,39.636913767019664,31.708568496664956,37.889141989369776,37.40715732613099,39.38942665673865,39.20671243325706,39.462209302325576,37.02956989247312,37.774524158125914,38.56932153392331,38.4272997032641,39.41267387944359,37.935943060498225,35.66200931470392,27.411652340019106
32.67605633802817,33.3716915995397,31.176798661461234,33.19575471698113,30.948419301164726,0.0,32.89340101522843,29.439252336448597,33.15665488810365,33.36314847942755,30.315420560747665,32.00431034482759,33.58644859813084,32.15339233038348,32.99145299145299,32.362459546925564,32.391930835734875,31.990794016110474,31.621465666474325,32.00475907198096,29.856512141280355,31.93548387096774,19.958847736625515
37.484355444305386,37.404580152671755,36.10421836228288,38.042049934296976,37.258566978193144,32.89340101522843,0.0,34.815242494226325,35.32818532818533,33.3963155408597,35.04885993485342,38.57315598548972,37.71021992238033,37.60740251156642,37.200504413619164,36.58536585365854,35.123183828174355,37.71760154738878,35.56832694763729,37.034574468085104,36.081835089894604,37.56740563211503,22.478829869130102
37.127729980145595,36.029411764705884,35.22875816993464,37.79637377963738,34.58549222797927,29.439252336448597,34.815242494226325,0.0,36.60220994475138,30.51257253384913,36.510161177295025,35.01557632398754,35.31397704253882,38.108680310515176,36.915887850467286,36.19824341279799,35.3494623655914,36.33898305084745,38.07878369039392,38.781362007168454,35.91595535128037,34.76101800124147,24.027072758037225
40.137090632140136,41.968503937007874,40.229007633587784,42.367346938775505,39.636913767019664,33.15665488810365,35.32818532818533,36.60220994475138,0.0,33.13545601726929,40.77112387202625,38.51109520400859,41.082802547770704,41.27764127764127,41.66666666666667,38.302425106990015,41.766109785202865,41.64012738853503,41.61988773055333,43.91891891891892,39.66565349544073,38.5,30.443974630021142
32.48836006207967,32.91205897840969,31.11225012813942,30.97768331562168,31.708568496664956,33.36314847942755,33.3963155408597,30.51257253384913,33.13545601726929,0.0,30.810520665593128,31.811414392059557,33.45824411134903,31.859838274932617,33.123689727463315,35.50687722873153,31.18448637316562,31.995776135163673,33.13704496788009,32.87671232876712,31.163505894413124,33.8701560140916,17.842073538276072
39.984532095901,40.82605242255759,40.18619084561676,42.004971002485505,37.889141989369776,30.315420560747665,35.04885993485342,36.510161177295025,40.77112387202625,30.810520665593128,0.0,36.853448275862064,42.204081632653065,44.37819420783646,40.86614173228346,41.093865484109386,40.38461538461539,43.95061728395061,41.9460343417825,42.95473953885568,40.26377036462374,39.444850255661066,32.74531422271224
38.97260273972603,39.20335429769392,39.33975240715269,39.56678700361011,37.40715732613099,32.00431034482759,38.57315598548972,35.01557632398754,38.51109520400859,31.811414392059557,36.853448275862064,0.0,40.37222619899785,39.606126914660834,39.930313588850176,40.554821664464995,39.787234042553195,37.62237762237762,37.77307963354475,37.67272727272727,36.95945945945946,37.55656108597285,26.714158504007123
40.723981900452486,41.017733230531995,41.673003802281364,41.03585657370518,39.38942665673865,33.58644859813084,37.71021992238033,35.31397704253882,41.082802547770704,33.45824411134903,42.204081632653065,40.37222619899785,0.0,44.11522633744856,39.455782312925166,39.8576512455516,42.586750788643535,41.23630672926448,42.788844621513945,42.03612479474548,42.29007633587786,38.673253352152436,30.030959752321984
42.89080911233307,43.47826086956522,42.65514532600157,43.34442595673877,39.20671243325706,32.15339233038348,37.60740251156642,38.108680310515176,41.27764127764127,31.859838274932617,44.37819420783646,39.606126914660834,44.11522633744856,0.0,42.92527821939587,40.307242136064374,42.59109311740891,44.33497536945813,42.33278955954323,45.211389128559105,43.409629044988165,41.13318616629875,30.430107526881724
41.494082840236686,41.69184290030212,39.51789627465303,43.18360914105595,39.462209302325576,32.99145299145299,37.200504413619164,36.915887850467286,41.66666666666667,33.123689727463315,40.86614173228346,39.930313588850176,39.455782312925166,42.92527821939587,0.0,40.6993006993007,42.80215550423402,41.91570881226054,44.122257053291534,43.190975020145046,41.34615384615385,39.04630269523152,29.66269841269841
39.629120879120876,40.168539325842694,39.231824417009605,40.975254730713246,37.02956989247312,32.362459546925564,36.58536585365854,36.19824341279799,38.302425106990015,35.50687722873153,41.093865484109386,40.554821664464995,39.8576512455516,40.307242136064374,40.6993006993007,0.0,40.0709219858156,42.07492795389049,40.935251798561154,41.77877428998505,39.49175824175824,40.07884362680683,26.395039858281667
40.0,41.67950693374422,41.67927382753404,45.069274653626735,37.774524158125914,32.391930835734875,35.123183828174355,35.3494623655914,41.766109785202865,31.18448637316562,40.38461538461539,39.787234042553195,42.586750788643535,42.59109311740891,42.80215550423402,40.0709219858156,0.0,39.93831919814957,41.66666666666667,42.27309893704007,39.43452380952381,38.59649122807017,29.724208375893767
41.03915662650602,39.51367781155015,41.02564102564102,41.14376489277204,38.56932153392331,31.990794016110474,37.71760154738878,36.33898305084745,41.64012738853503,31.995776135163673,43.95061728395061,37.62237762237762,41.23630672926448,44.33497536945813,41.91570881226054,42.07492795389049,39.93831919814957,0.0,43.00476947535771,43.080724876441515,41.42101284958428,39.36395759717314,29.815573770491806
41.33738601823708,41.427463149728474,40.04524886877828,42.83400809716599,38.4272997032641,31.621465666474325,35.56832694763729,38.07878369039392,41.61988773055333,33.13704496788009,41.9460343417825,37.77307963354475,42.788844621513945,42.33278955954323,44.122257053291534,40.935251798561154,41.66666666666667,43.00476947535771,0.0,44.87394957983194,41.07820804859529,39.03477643718949,29.679420889348503
43.152866242038215,41.3322632423756,40.89481946624804,42.78523489932886,39.41267387944359,32.00475907198096,37.034574468085104,38.781362007168454,43.91891891891892,32.87671232876712,42.95473953885568,37.67272727272727,42.03612479474548,45.211389128559105,43.190975020145046,41.77877428998505,42.27309893704007,43.080724876441515,44.87394957983194,0.0,41.30605822187255,40.0,32.44444444444444
39.59537572254335,42.05397301349325,40.18895348837209,42.32558139534884,37.935943060498225,29.856512141280355,36.081835089894604,35.91595535128037,39.66565349544073,31.163505894413124,40.26377036462374,36.95945945945946,42.29007633587786,43.409629044988165,41.34615384615385,39.49175824175824,39.43452380952381,41.42101284958428,41.07820804859529,41.30605822187255,0.0,36.67563930013459,27.74566473988439
37.92401628222524,38.707435719249474,38.66120218579235,40.36231884057971,35.66200931470392,31.93548387096774,37.56740563211503,34.76101800124147,38.5,33.8701560140916,39.444850255661066,37.55656108597285,38.673253352152436,41.13318616629875,39.04630269523152,40.07884362680683,38.59649122807017,39.36395759717314,39.03477643718949,40.0,36.67563930013459,0.0,25.616197183098592
27.203065134099617,28.075396825396826,28.391472868217054,31.06382978723404,27.411652340019106,19.958847736625515,22.478829869130102,24.027072758037225,30.443974630021142,17.842073538276072,32.74531422271224,26.714158504007123,30.030959752321984,30.430107526881724,29.66269841269841,26.395039858281667,29.724208375893767,29.815573770491806,29.679420889348503,32.44444444444444,27.74566473988439,25.616197183098592,0.0
